,Percentage,Retained Dimension,compression_ratio,mse,ssim
0,1,3,0.017,3018.7592789960654,0.6430464454026249
1,10,30,0.171,284.95936694358045,0.8199338742648113
2,30,90,0.513,26.693479020256223,0.9602167262437659
3,60,180,1.026,0.888376070655944,0.9976022195512974
4,90,270,1.539,0.007402993274626038,0.999969656954633
