,Percentage,Retained Dimension,compression_ratio,mse,ssim
0,1,3,0.017,2986.955455705112,0.20513517027154576
1,10,30,0.172,725.0536309781935,0.5066804587673829
2,30,90,0.515,213.70338515799665,0.7671092508369319
3,60,180,1.03,38.64344282977567,0.9286507401267671
4,90,270,1.545,1.9789435340243318,0.9939625050419146
